"Unique_Index";"Seminar";"Time_UT";"Time_local";"Speaker";"Title";"Abstract";"Information" 
"0";"CMU Core Model Theory Seminar";"09/13/2022 17:30";"Tuesday, 13 September, 1:30 – 3:00pm Pittsburgh time (19:30 – 21:00 CEST)";"Nam Trang, University of North Texas";"Core model induction toolbox and examples, part 1";"This is the abstract for the first three to four lectures.
We discuss the relevant concepts and tools that go into a core model induction through L(R) (or more generally through models of the form Lp^\Sigma(R)). We provide examples (PFA, the existence of an \omega_1-dense ideal on \omega_1 etc) that illustrate how these concepts are used in practice.";"Please contact Ernest Schimmerling in advance for the zoom link."
"1";"CMU Logic Seminar";"9/13/2022 19:30";"Tuesday, 13 September,  3:30 – 4:30pm Pittsburgh time (21:30 – 22:30 CEST)";"Rick Statman, Carnegie Mellon University";"Cayley Monoids";"Everyone is familiar with Cayley’s regular representation of groups in the symmetric group. And, if you think about monoids at all, you noted that it applies in a limited way to monoids. The notion of a Cayley monoid is just an internalization of this type of representation. There are many examples of Cayley monoids. Some of these are obtained from the group of a monoid acting on the monoid itself. There are some interesting special cases of Cayley monoids with strong <_{L} commutativity properties . An example is provided by the monoid Z*Q where Q is the quaternion group. In these cases we say that the Cayley monoid has an autonomous commutator. Here will will show that every monoid can be extended to a Cayley monoid with an autonomous commutator.";"See the seminar webpage."
"2";"Helsinki Logic Seminar";"9/14/2022 11:00";"Wednesday, 14 September, 14:00 – 16:00 Helsinki time (13:00-15:00 CEST) – note the time change!";"Andres Villaveces, Universidad Nacional de Colombia, Bogotá";"Tba";"Tba";"The talk will take plce in hybrid mode. Please see the seminar webpage for the link."
"3";"CUNY Logic Workshop";"9/16/2022 18:00";"Friday, 16 September, 2:00 – 2:30 New York time (20:00-21:30 CEST)";"Gunter Fuchs, CUNY";"The blurry HOD hierarchy";"Classically, an object is ordinal definable if it is the unique one satisfying a formula with ordinal parameters. Generalizing this concept, given a cardinal κ, I call an object <κ-blurrily ordinal definable if it belongs to an ordinal definable set with fewer than κ elements (called a <κ-blurry definition). By considering the hereditary versions of this notion, one arrives at a hierarchy of inner models, indexed by cardinals κ: the collection of all hereditarily <κ-blurrily ordinal definable sets, which I call <κ-HOD. In a ZFC-model, this hierarchy spans the entire spectrum from HOD to V.
The special cases κ=ω and κ=ω1 have been previously considered, but no systematic study of the general setting has been carried out, it seems. One main aspect of the analysis is the notion of a leap, that is, a cardinal at which a new object becomes hereditarily blurrily definable.
In this talk, I will focus on the ZFC-provable structural properties of the blurry HOD hierarchy, which turn out to be surprisingly plentiful. So for the most part, the talk will be forcing-free. Time permitting, I may hint at the result of the equiconsistency between the least leap being the successor of a singular strong limit cardinal and the existence of a measurable cardinal, for which, admittedly, forcing is used in one direction.";"The talk will take place in hybrid mode. Please see the seminar webpage or email Victoria Gitman for the link."
"4";"CMU Core Model Theory Seminar";"9/20/2022 17:30";"Tuesday, 20 September, 1:30 – 3:00pm Pittsburgh time (19:30 – 21:00 CEST)";"Nam Trang, University of North Texas";"Core model induction toolbox and examples, part 2";"This is the abstract for the first three to four lectures.
We discuss the relevant concepts and tools that go into a core model induction through L(R) (or more generally through models of the form Lp^\Sigma(R)). We provide examples (PFA, the existence of an \omega_1-dense ideal on \omega_1 etc) that illustrate how these concepts are used in practice.";"Please contact Ernest Schimmerling in advance for the zoom link."
"5";"CMU Logic Seminar";"9/20/2022 19:30";"Tuesday, 20 September,  3:30 – 4:30pm Pittsburgh time (21:30 – 22:30 CEST)  ";"James Cummings, Carnegie Mellon University
Title: Extender based forcing and cardinal invariants of singular cardinals";"(Joint work with Charles Morgan) Many of the cardinal invariants of the continuum (EG the bounding number) generalise in a reasonable way to uncountable regular cardinals, but not to singular cardinals. I will discuss a cardinal invariant (the ultrafilter character spectrum) which does generalise, and how to control its value by forcing.";"See the seminar webpage."
"6";"Helsinki Logic Seminar";"Wednesday, 21 September, 12:00 – 14:00 Helsinki time (11:00-13:00 CEST)";"Matilda Häggblom";"Axiomatizing modal inclusion logic";"Modal inclusion logic is team-based modal logic extended with inclusion atoms. The talk will cover the main result of my master’s thesis: A complete axiomatization of modal inclusion logic. We begin by recalling that modal inclusion logic is expressively complete for classes that have the empty team property, are closed under unions and closed under k-bisimulation for some k. Through the expressive completeness proof, we obtain a normal form for the logic. In the talk, we suggest a simplified version of the normal form compered to the one currently in the literature. We then introduce a natural deduction proof system and show completeness using the normal form.";"The talk will take place in hybrid mode. Please see the seminar webpage for the link."
"7";"CUNY Logic Workshop";"9/23/2022 18:00";"Friday, 23 September, 2:00 – 2:30 New York time (20:00-21:30 CEST)";"Russell Miller, CUNY";"Interpreting a field in its Heisenberg group";"The Heisenberg group G(F) of a field F is the group of upper triangular matrices in GL_3(F), with 1’s along the diagonal and 0’s below it. This group is obviously interpretable (indeed definable) in the field F. Mal’cev showed that one can recover F from G(F), and indeed that there is an interpretation of F in G(F) using two parameters. Any two noncommuting elements of G(F) can serve as the parameters, but Mal’cev was unable to produce an interpretation without parameters. 
After introducing the notions of a computable functor and an effective interpretation, we will present joint work showing that there is an effective interpretation of each countable field in its Heisenberg group, without parameters, uniformly in F. (That is, the same formulas give the interpretation, no matter which field F we consider.) Moreover, from the effective interpretation we will then extract a traditional interpretation without parameters, in the usual model-theoretic sense. Finally we will note that, whereas Mal’cev’s result actually gives a definition of F in G(F), there is no parameter-free definition of F there. 
This work is joint with Rachael Alvir, Wesley Calvert, Grant Goodman, Valentina Harizanov, Julia Knight, Andrey Morozov, Alexandra Soskova, and Rose Weisshaar.";"The talk will take place in hybrid mode. Please see the seminar webpage or email Victoria Gitman for the link."
"8";"CMU Core Model Theory Seminar";"9/27/2022 17:30";"Tuesday, 27 September, 1:30 – 3:00pm Pittsburgh time (19:30 – 21:00 CEST)  ";"Nam Trang, University of North Texas";"Core model induction toolbox and examples, part 3";"This is the abstract for the first three to four lectures.
We discuss the relevant concepts and tools that go into a core model induction through L(R) (or more generally through models of the form Lp^\Sigma(R)). We provide examples (PFA, the existence of an \omega_1-dense ideal on \omega_1 etc) that illustrate how these concepts are used in practice.";"Please contact Ernest Schimmerling in advance for the zoom link."
"9";"CMU Logic Seminar";"Tuesday, 27 September,  3:30 – 4:30pm Pittsburgh time (21:30 – 22:30 CEST)";"Riley Thornton, CMU";"Complexity and dichotomy theorems";"I will survey some recent results on projective complexity, and I will explain what they tell us about dichotomy theorems in descriptive set theory. In particular, I will explain how the (unfortunately named) CSP Dichotomy Theorem implies a formal connection between computational and projective complexity and how this tells us exactly which graph homomorphism problems admit descriptive set theoretic dichotomies.";"See the seminar webpage."
