"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Abramsky, Samson";"The logic of contextuality";"https://zoom.us/rec/play/FK7Z-Gw6vjpyI3cncYJ9l8HxlnOXYSe67Wfrf1V50fl8AuzAfQ_NiwgvBzGxRGGsMQYK-_G9culO4LXB.H224IWUNYGmOjGBX?continueMode=true&_x_zm_rtaid=zss64e_NTPG4y5CJFXexdQ.1604681529772.96a87f916c86bbbf3b280af86246301f&_x_zm_rhtaid=650";"November 6, 2020";"seminar";
"Adam-Day, Samuel";"The continuous gradability of the cut-point orders of R-trees";"https://youtu.be/gOkD3bXynQo";"May 19, 2021";"seminar";
"Anscombe, Sylvy";"Diophantine subsets and subfields of large fields";"https://zoom.us/rec/play/znNz6MtzDlRpBC79MwGqCYeeY9NkJ6TLWM1RV0YPSGIltKpf0J7EZNyQ8snF4q_lJnIJMgWRg9XMPinl.RXGGPGV6_hTDgrDY?continueMode=true&_x_zm_rtaid=21NjbJXjSt26G3gadSJyzg.1607036351365.4d0e96540c21ad0a8f97c1381fb2eb2e&_x_zm_rhtaid=605";"December 2, 2020";"seminar";
"Armida, Marcos Mazari";"A model theoretic solution to a problem of László Fuchs";"https://cmu.zoom.us/rec/share/RUMVEZMIxB-fE8Cek0U9xmKlAgXta71zFQ7frRbAVOz8yiIbPhckxBPsiHUNmCR_.1O8ISsNPvbmzKpTz";"September 24, 2020";"seminar";"nv?4TQGx"
"Armida, Marcos Mazari";"A model theoretic solution to a problem of László Fuchs";"https://cmu.zoom.us/rec/share/3hbYodKBoOk6lC1tWjWLU8z5G9LFHDEZSJuiyIUUfXjUdpEaREzIyL2QQflRTngT.YWQAcLr4a10_hNGP";"September 17, 2020";"seminar";"3m6N6K+$"
"Armida, Marcos Mazari";"A model theoretic solution to a problem of László Fuchs";"https://cmu.zoom.us/rec/share/wNz_1T_VFgI0cnwk8DPp9U3vUTLQJZc0YQ-h8OUXqGnsrYCDOYKVBeqaR-YR6eYh.w5KCexHy6he6nagl";"September 10, 2020";"seminar";"53az#5^g"
"Aslanyan, Vahagn";"Blurrings of the j-function";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/Zoom8.mp4";"March 1, 2021";"seminar";
"Bagaria, Joan";"Some recent results on Structural Reflection";"https://youtu.be/ukAKhND2xGs";"June 16, 2021";"seminar";
"Baldwin, John";"The Hanf number for extendability is the first measurable cardinal";"https://cmu.zoom.us/rec/share/_yHiaaBuQp8jkBDgZEE_ljlJjzIumfaiOvoUkKK_RplyXxIRgfwjob0owYuZADxF.onmZv9vDhapm2BIt";"February 11, 2021";"seminar";"F1MMf&*A"
"Baldwin, John";"The Hanf number for extendability is the first measurable cardinal";"https://cmu.zoom.us/rec/share/OVb095qOGBDwTCCbnqgk2X5jkXwx3nGVxB7kIACCL3SCP65oVSwQYXUfn9aSs0MS._z3K1f8hIijVHM6U";"February 4, 2021";"seminar";"YtgA%5Yz"
"Baldwin, John";"On Strongly Minimal Steiner Systems: Zilber's Conjecture, Universal Algebra, and Combinatorics";"https://zoom.us/rec/play/cSnJ9hxJ9pMIrTGIZklrS8ikOnN55SbS4VOLGRcRyVNakYIGMHS9qgAMbPaxyF3sFAPJCdI9_7neHraY.ueRtcMi8faXGlBWf?continueMode=true&_x_zm_rtaid=ET9ZgPmLRqyeZLiAjhzHqQ.1600075334420.5f17547eb76442cf723cc3497259afac&_x_zm_rhtaid=591";"September 2, 2020";"seminar";
"Barbina, Silvia";"The theory of the universal-homogeneous Steiner triple system";"https://zoom.us/rec/play/rt8M9Xw0lQmC9C8aGXxavrSJndlpQYUPdra4eIzcaUh076M3qO0CmBqUPoEjAofhE2jqwQpapp71U9rJ.wMmEZsRDeTluqu3T?continueMode=true&_x_zm_rtaid=b6tr0XrYRNW3aZFqtONFxQ.1603019439597.d1aa8dc4e7d9f57bc3a0b4781972e59a&_x_zm_rhtaid=23";"October 16, 2020";"seminar";
"Berenstein, Alexander";"A review of expansions by predicates and some preservation theorems";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/zoom_0_Trim.mp4";"November 23, 2020";"seminar";
"Berenstein, Alexander";"Expansions of vector spaces with a generic submodule";"https://zoom.us/rec/play/uaHR5DJlOHJSkNUCSwWEMfE_0gN5EyCQ2gqrFWk9FGZ1lDHZGo7QpcnHAqzS8PKqtAhUp4Dfu8DLrbWK.ipu36Juedek2RRLb?continueMode=true&_x_zm_rtaid=21NjbJXjSt26G3gadSJyzg.1607036351365.4d0e96540c21ad0a8f97c1381fb2eb2e&_x_zm_rhtaid=605";"November 18, 2020";"seminar";
"Blass, Andreas";"Ultrafilters on omega versus forcing";"https://youtu.be/Ca4LDwTRyio";"October 21, 2020";"seminar";
"Block Gorman, Alexi";"Fractal Dimensions and Definability from Büchi Automata";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/Zoom11.mp4";"April 12, 2021";"seminar"; 
"Boney, Will";"Erdos-Rado classes and generalized indiscernible in AECs";"https://cmu.zoom.us/rec/share/P0yo3ZwLW0AGG2KRqRG0m9v8fOyAhJo2Eq3T1BJoMvd4k2VogAuGxpPbZjtsPg.tja9tw3LAvhtnCwZ";"November 12, 2020";"seminar";"B59@8d42"
"Boney, Will";"Erdos-Rado classes and generalized indiscernible in AECs";"https://cmu.zoom.us/rec/share/UB-ooCdZVW9jC-F4nvvFS0UOeV9x4q-2cpJRThFm-ZuXZ4BVCwzvVpsFH75DhqCI.wL_3Zu4hWHJDiglg";"November 5, 2020";"seminar";"hPQe3h9*"
"Boney, Will";"Erdos-Rado classes and generalized indiscernible in AECs";"https://cmu.zoom.us/rec/share/ExF8lCCYRV9gi1bT9kwDZYjUMwOsHgTQP8loXNuSv7HQM_iJz2UH_G5KS85lrieF.7pKxmnZPTKHQoHl6";"October 29, 2020";"seminar";"evY^=v0m"
"Calderoni, Filippo";"The Borel structure on the space of left-orderings";"https://youtu.be/kWLmpJKxCbE";"January 8, 2021";"seminar";
"Calderón, Daniel";"Nullity notions on the real line";"https://zoom.us/rec/play/uZZ4I-mgqG43S9WQtASDC_8oW428e66sgSRMrKULmU6wAHJRNFSjZLYaZutqrnw-B8atIm1ZcTRSOZvR?startTime=1598475338000&_x_zm_rtaid=_qqhMU8CSyyIXesoF8gfDw.1598713396293.d5a8340cc6c90b4e68109f4e4bb5476c&_x_zm_rhtaid=953";"August 26, 2020";"seminar";
"Carmona, Juan Felipe";"Definably amenable groups in continuous logic";"https://youtu.be/_Jj74aSiEp0";"April 28, 2021";"seminar"; 
"Chernikov, Artem";"Distality in valued fields and related structures";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/Zoom2.mp4";"December 7, 2020";"seminar";
"Chernikov, Artem";"Incidence counting and trichotomy in o-minimal structures";"https://zoom.us/rec/play/GpjzTYr4bQFYB2roa9HlpncacZHhKw-ie2tp_Qzhx_mNEccV9jaKk2OKhWeOGvYXz8nQt3TANgB6241A.F30yZcLwNAORxbim?continueMode=true&_x_zm_rtaid=aAM3oz2_QdSPiwkOBy_Pug.1600719580557.26ccf93cc60297e5c00dad2460b83fd8&_x_zm_rhtaid=310";"September 16, 2020";"seminar";
"Cheung, Hanif";"Strong amalgamation in AECs and categoricity";"https://cmu.zoom.us/rec/share/Oglv-Dr6whypFFkrv9wGbk0ec07Z3ritYknAB8ypN9dT-NyvBYsFKq3cESIdx6iL.-q0jKhM-lp8tUSZx";"April 15, 2021";"seminar";"fN&r86Pv" 
"Cheung, Hanif";"Strong amalgamation in AECs and categoricity";"https://cmu.zoom.us/rec/share/9sYo6U9ksxrHJ8Ef-rJmuPW38NAbbxUbMppz0RZXg79NC_UluMuPmDQ8r-gqbg2D.HJTiIyalkXrJQtD_";"April 8, 2021";"seminar";"9$S+k&Fn"
"d'Elbée, Christian";"Generic expansions by a reduct";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/Zoom3.mp4";"December 21, 2020";"seminar";
"Dasilva Barbosa, Keegan";"A Decomposition Theorem for Aronszajn Lines";"https://www.miguelmath.com/vid/sts-keegan.mp4";"April 10, 2020";"seminar";
"Dimonte, Vincenzo";"A Decomposition The role of Prikry forcing in generalized Descriptive Set Theory";"https://youtu.be/NrCxmpPvYuk";"March 26, 2021";"seminar";
"Džamonja, Mirna";"On wide Aronszajn trees";"https://youtu.be/tZT7mbFOty4";"November 4, 2020";"seminar";
"Džamonja, Mirna";"On wide Aronszajn trees";"https://www.youtube.com/watch?v=yRXSRO-LaPQ";"April 24, 2020";"seminar";
"Eisworth, Todd";"Representability and Pseudopowers";"https://www.miguelmath.com/vid/eisworth.mp4";"April 24, 2020";"seminar";
"Enayat, Ali";"Leibnizian and anti-Leibnizian motifs in set theory";"https://youtu.be/ikdi5uXlelc";"May 27, 2020";"seminar";
"Eskew, Monroe";"Weak square from weak presaturation";"https://youtu.be/6uXcNKHdl_o";"December 18, 2020";"seminar";
"Freund, Anton";"Ackermann, Goodstein, and infinite sets";"https://youtu.be/Sqr6B4ePKqk";"January 15, 2021";"seminar";
