"Unique_Index";"Seminar";"Time_UT";"Time_local";"Speaker";"Title";"Abstract";"Information";"Repository"
"0";"Turin Logic Seminar";"07/24/2025 16:00";"Thursday, 24 July, 16:00 – 18:00 Italy (16:00 – 18:00 CEST)";"Test speaker 3";"Test title 3";"Test Abstract 3";"Test by Luca";"What do you mean?"
"1";"Cross-Allps Seminar";"07/25/2025 10:00";"Friday, 25 July, 10:00 – 11:00 Italy (10:00 – 11:00 CEST)";"Test speaker 4";"Test title 4";"Test Abstract 4";"Test by Philipp";""
"2";"Gdansk Set Theory Seminar";"08/04/2025 14:00";"Monday, 4 August, 16:00 – 17:00 Poland (16:00 – 17:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"3";"Leeds Set Theory Seminar";"08/05/2025 14:00";"Friday, 1 August, 15:00 – 16:00 London (16:00 – 16:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"4";"New York Set Theory Seminar";"08/05/2025 17:00";"Tuesday, 5 August, 13:00 – 47:00 New York (19:00 – 20:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"5";"Caltech Logic Seminar";"08/06/2025 06:00";"Wednesday, 6 August, 16:00 – 17:00 California (08:00 – 09:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"6";"Cross-Alps Seminar";"08/06/2025 13:00";"Friday, 6 August, 15:00 – 16:00 Italy (15:00 – 16:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"7";"Toronto Set Theory Seminar";"08/06/2025 18:00";"Wednesday, 6 August, 14:00 – 15:00 Toronto (20:00 – 21:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"8";"Vienna Set Theory Seminar";"08/07/2025 08:00";"Thursday, 7 August, 10:00 – 11:00 Austria (10:00 – 11:00 CEST)";"Test speaker";"Test title";"Test Abstract";"Test information";""
"9";"Cross-Alps Seminar";"08/13/2025 14:00";"Friday, 13 August, 16:00 – 17:00 Italy (16:00 – 17:00 CEST)";"Test speaker 2";"Test title 2";"Test Abstract 2";"Test by Vincenzo";""
